actor,return
Jami Gertz,3099098.952396217
Donna Mitchell,2479288.5723170517
Andrew McCarthy,2479279.9131775163
Nicholas Pryor,1770914.2020907828
James Spader,1549550.8451257574
Michael Bowen,1033038.4776739809
Robert Downey Jr.,516518.93488127814
Martin Kove,339545.8208043787
William Zabka,339544.142934845
Brad Pitt,281738.9693626071
Ralph Macchio,254659.95778182268
Pat Morita,254658.8338455199
Tamlyn Tomita,254657.8293053892
Yuji Okumoto,203726.34825932008
Katie Featherston,2607.30683608
Joshua Leonard,1380.5753439753535
Choi Min-sik,559.1631964325658
Sterling Holloway,114.82786553500719
Donald Crisp,110.0
Heather Angel,106.25891470833332
Lester Dorr,100.04411475
Lee Phelps,100.04411475
Thomas Mitchell,100.04411475
Wallis Clark,100.04411475
Clark Gable,100.04411475
Chuck Norris,88.51362219854066
Verna Felton,85.38029026149425
Lavelle Roby,79.23574543806485
J. Pat O'Malley,74.37031098958333
Michael Berryman,72.51137192028986
Estelle Omens,70.50747933129065
Scott Beach,68.71457065981777
P.J. Soles,67.33419082125604
Lynne Marie Stewart,66.01845643725304
John Larroquette,63.86090344929193
Paul Le Mat,62.459935376726726
Ron Howard,62.12244730894895
Bill Cosby,61.62470562010583
Geraldine Page,59.3465575
Emilia Fox,56.640476374725274
John Amos,56.20799596655983
Ward Bond,55.865587732142856
Severn Darden,55.58946615384615
Paul Koslo,55.58946615384615
Tamsin Egerton,55.284909974725274
Bo Hopkins,54.73835574432705
Butterfly McQueen,51.722057375000006
Charles Cyphers,50.054391942424246
Frank Braña,48.75
Moroni Olsen,46.76942191857489
Richard Cunningham,45.9256275
Carl Gottlieb,45.275285714285715
Calvin Lockhart,44.7850000974841
Arthur Malet,44.71434075839744
Francis Ford,41.23711340206186
Bill Baldwin,41.15050059672619
Эрика Элениак,39.99686989047619
Sidney Poitier,39.97145112761905
Alex Karras,38.69680148076923
Harry Strang,38.3499751547619
Robert Tessier,37.9286109537037
Chuck Hamilton,37.86967925
Shep Houghton,37.34803825
Ossie Davis,36.71101464384813
James MacDonald,36.517717974797975
Ben Wright,36.47314692987805
Gino Corrado,36.27736895256196
Dale Van Sickel,36.12095491666667
Robert Shaw,35.74401233678821
Simmy Bow,34.68072282916667
Roger Hammond,34.63128301292541
Sandy Martin,34.40431565
Yuen Wah,33.517154677708646
Marion Ramsey,32.488643555555555
David Graf,32.488643555555555
Bubba Smith,32.488643555555555
Candy Clark,32.233154063196864
Jack Purvis,31.644550242453903
Lloyd Kaufman,31.08218464632353
Frank Faylen,31.065352901785715
Colin Campbell,30.76911088888889
Frank Stallone,30.67747748916084
Brian Boland,30.40910550311111
Irwin Keyes,30.118682194958122
Joseph Bishara,29.368369116410253
Murray Hamilton,28.12989032797619
Abe Vigoda,27.989403371794875
Sammo Hung,27.702028475009495
Frank O'Connor,27.649074044302495
Milton Kibbee,27.649074044302495
Michael Constantine,26.99771251481482
Leigh Whannell,26.515361299761903
Joyce Hyser,26.251399123376622
John McIntire,26.238037172627603
Jeanette Nolan,26.15005201846094
Burton Gilliam,26.03736401826923
Katharine Ross,26.016624916666668
Donald Pleasence,25.759599640153034
Dee Wallace,25.704765973821026
Lesley Sharp,25.586622728571427
David Early,25.57657007215756
John Snyder,25.288671238235292
Efren Ramirez,25.22989334254902
Richard Vernon,25.149886022077922
Fan Bingbing,25.13145485101881
Bernard Lee,24.978433554981383
Benito Martinez,24.926023284523808
Eva Gabor,24.838612892262706
Scott Seaton,24.80636751892319
Carl Weathers,24.79777823771874
Julie Bovasso,24.689956314393935
John Dennis,24.648376563852814
Ray Milland,24.558464165177682
Burgess Meredith,24.38996332710684
Struan Rodger,24.389798828787878
Jon Heder,24.316287629488844
Ken Foree,24.156335375055427
John Stockwell,23.788706733333335
Burnell Tucker,23.758383602164503
Makenzie Vega Norfolk,23.4185641875
Norma Varden,23.410234117728763
Vera Miles,23.300295595255207
Charles Martin Smith,23.287771815303774
Talia Shire,23.228614635311338
Lyle Brocato,23.180429525714285
Peter Mayhew,23.106727718766752
Peter Bull,22.934615384615384
Titos Vandis,22.8467643771212
Peter Riegert,22.7272259221072
Frank Pesce,22.55453592893311
Richard Herd,22.51951908939847
Karl Swenson,22.514998473504274
Joe Spinell,22.46067629945388
David Gulpilil,22.272727375688504
Mark Hamill,22.199681755425303
Richard Farnsworth,22.117215241428575
Ryan O'Neal,22.041666666666668
Stan Shaw,22.008228491755492
Ringo Starr,21.963692857142856
Peter Boyle,21.749486158066983
Hans Moebus,21.487170595255208
Richard LeParmentier,21.38685197890813
Linda Blair,21.346694501488095
Lee J. Cobb,21.31136715277778
Robert Donner,21.28331198057498
Arthur Tovey,21.282130534311385
Meat Loaf,21.27439941989899
Derek Lyons,21.128669865425085
Anthony James,21.10685682805781
Lois Maxwell,20.974095724090198
Tony Burton,20.96614694334862
Kenneth Tobey,20.914880642857142
Kathleen Quinlan,20.526700642565764
Michael Sheard,20.484081449074072
Martin Benson,20.457362656043955
Burt Young,20.198303498868196
Timothy Scott,20.18570760758855
Gia Carides,20.093224518585863
Malcolm Tierney,20.051229177876046
Thelma Ritter,20.04882316666667
John Saxon,19.935189812930926
Shawnee Smith,19.869699055086578
Michael Lombard,19.865478896312453
Angus Sampson,19.844947852083333
Fran Drescher,19.79520820714869
Larri Thomas,19.783000199763592
Scott Thomson,19.720993508454107
Walter Sande,19.668067379294104
Walter Bacon,19.601166308703228
Karl Johnson,19.480162673412696
Gene Wilder,19.42099341269841
John Vernon,19.41181937087087
George Sanders,19.244745444444444
Alec Guinness,19.2309047787428
Alfred Hitchcock,19.214205038102083
Jon Gries,18.959505324990484
Jamie Lee Curtis,18.9375814517432
Jayne Eastwood,18.93188873227417
Leslie Easterbrook,18.919452044444444
Ted Grossman,18.91775865956906
Rooney Mara,18.86522615476281
Rowan Atkinson,18.45959565637617
John Cazale,18.440088084401708
James Fleet,18.434715393939396
Liz Smith,18.38646295771784
Tom Savini,18.284710246053525
Aiden Lovekamp,18.18662685
Dina Meyer,18.186112845802008
