director,return
John G. Avildsen,169822.75046837158
George A. Romero,60.65693504025207
George Lucas,54.32844573980368
Martha Coolidge,49.553131428571426
Davis Guggenheim,46.243
George Miller,39.0769747387859
James Wan,27.659835026412185
Guy Hamilton,25.779056835912698
John Badham,25.433532396464646
John Carpenter,25.075057965318774
Henry Joost,24.730252175438597
Peter Bogdanovich,22.41
Arthur Hiller,19.17720420405983
John Hughes,18.035618130128206
William Friedkin,16.07609372479798
Mel Brooks,15.37587434368787
Steve Rash,14.769148055555556
Mike Figgis,13.833333333333334
Eli Roth,13.549439050653595
Alfred Hitchcock,13.317849676706945
Mike Newell,12.964006015
George Roy Hill,12.531138705124777
Sam Raimi,11.95614469290394
Randal Kleiser,11.833137503571429
Howard Hawks,11.687060714285714
Wes Craven,11.55853847084974
Adrian Lyne,11.307074227473684
Chris Weitz,10.612461075656565
Bernardo Bertolucci,10.61187849758454
Michael Winner,10.57204337037037
Steven Spielberg,10.333269549591488
Bob Clark,10.107226560668497
Miloš Forman,10.089212602134147
Sylvester Stallone,9.900902561294107
Paul Mazursky,9.660300822446274
Jim Abrahams,9.51480459065934
John Landis,9.109632793124218
Darren Aronofsky,9.001179951036631
Kevin Smith,8.957490447789116
Jason Reitman,8.850816689999998
Chris Columbus,8.839066236307549
M. Night Shyamalan,8.782219224542734
Robert Wise,8.684803340855392
Billy Wilder,8.600768725983093
William Wyler,8.56602341904762
Michael Moore,8.08546616111111
Steve Miner,7.97369961843682
Sidney Lumet,7.955464998538012
Mel Gibson,7.675063775
Bruce Beresford,7.602825953015873
Garry Marshall,7.575488443557678
Hayao Miyazaki,7.5308746958507315
Michael Curtiz,7.4581435079726655
John Madden,7.445134454456141
John Boorman,7.44253474512987
Quentin Tarantino,7.413614355824915
Noah Baumbach,7.398754
Sofia Coppola,7.375447569523809
Chuck Russell,7.355847026739131
Sam Peckinpah,7.272794529841978
Martin Brest,7.071257180645162
Norman Jewison,7.015510413333334
Ang Lee,6.849822024001447
Wong Kar-wai,6.794935713413932
James Cameron,6.779301981606642
Mike Nichols,6.749972522264546
Jean-Pierre Jeunet,6.710241179509379
Herbert Ross,6.7089404871273715
Ted Kotcheff,6.4982547743589745
Robert Altman,6.46100040603896
Francis Ford Coppola,6.383729354571211
Ivan Reitman,6.335039089826255
Danny Boyle,6.305260898950618
Jim Sheridan,6.302018155373933
Joe Dante,6.164854407634681
Pedro Almodóvar,6.14599492494115
Bill Condon,5.87226449203869
Baz Luhrmann,5.722391835382089
Alejandro González Iñárritu,5.714157224518519
John Glen,5.7068875352435064
Sam Mendes,5.64635096274567
Jonathan Demme,5.589982641273054
John Schlesinger,5.584884203589744
Ari Folman,5.5629245
Peter Jackson,5.534930829473712
John Lasseter,5.530875671555556
Timur Bekmambetov,5.509247270408163
Charlie Chaplin,5.5
Curtis Hanson,5.458201181750499
Gus Van Sant,5.367480053100775
Richard Donner,5.325842965668669
Jay Roach,5.325235227241488
Brad Anderson,5.274798307692308
Ron Clements,5.272033599351741
Jon M. Chu,5.204229102653288
Don Siegel,5.186241071428571
Alexander Payne,5.176278596874999
David Yates,5.170344005
Hideaki Anno,5.133333333333334
Robert Zemeckis,5.130529490959826
Nicholas Stoller,5.111704649523809
Jon Turteltaub,5.102804174465565
Peter Weir,5.085713810596206
Keenen Ivory Wayans,5.070782719409179
Anne Fletcher,5.063152129285714
Andrew Adamson,5.057725348611111
David Frankel,4.90891550734127
Nora Ephron,4.872777113277042
Jake Kasdan,4.828319832142857
J. Lee Thompson,4.816666666666666
Edgar Wright,4.785295384313725
Richard Linklater,4.740574698148148
Paul Schrader,4.738265416666667
David Zucker,4.725337020003019
Stanley Kubrick,4.7120407080913775
John Guillermin,4.687955736139867
Alan J. Pakula,4.6619128414834625
Alfonso Cuarón,4.552366278458839
Mani Ratnam,4.547872340425532
Neil Jordan,4.535722252455615
Joel Coen,4.515426748818708
James Ivory,4.504784623188406
Michael Haigney,4.503769413888889
