director,title,budget,revenue,return,year
John Lasseter,Toy Story,30000000.0,373554033.0,12.4518011,1995
Joe Johnston,Jumanji,65000000.0,262797249.0,4.0430346,1995
Howard Deutch,Grumpier Old Men,,,,1995
Forest Whitaker,Waiting to Exhale,16000000.0,81452156.0,5.09075975,1995
Charles Shyer,Father of the Bride Part II,,76578911.0,,1995
Michael Mann,Heat,60000000.0,187436818.0,3.123946966666667,1995
Sydney Pollack,Sabrina,58000000.0,,,1995
Peter Hewitt,Tom and Huck,,,,1995
Peter Hyams,Sudden Death,35000000.0,64350171.0,1.8385763142857143,1995
Martin Campbell,GoldenEye,58000000.0,352194034.0,6.072310931034483,1995
Rob Reiner,The American President,62000000.0,107879496.0,1.739991870967742,1995
Mel Brooks,Dracula: Dead and Loving It,,,,1995
Simon Wells,Balto,,11348324.0,,1995
Oliver Stone,Nixon,44000000.0,13681765.0,0.31094920454545455,1995
Renny Harlin,Cutthroat Island,98000000.0,10017322.0,0.10221757142857144,1995
Martin Scorsese,Casino,52000000.0,116112375.0,2.2329302884615383,1995
Ang Lee,Sense and Sensibility,16500000.0,135000000.0,8.181818181818182,1995
Allison Anders,Four Rooms,4000000.0,4300000.0,1.075,1995
Steve Oedekerk,Ace Ventura: When Nature Calls,30000000.0,212385533.0,7.079517766666667,1995
Joseph Ruben,Money Train,60000000.0,35431113.0,0.59051855,1995
Barry Sonnenfeld,Get Shorty,30250000.0,115101622.0,3.805012297520661,1995
Jon Amiel,Copycat,,,,1995
Richard Donner,Assassins,50000000.0,30303072.0,0.60606144,1995
Victor Salva,Powder,,,,1995
Mike Figgis,Leaving Las Vegas,3600000.0,49800000.0,13.833333333333334,1995
Oliver Parker,Othello,,,,1995
Lesli Linka Glatter,Now and Then,12000000.0,27400000.0,2.283333333333333,1995
Roger Michell,Persuasion,,,,1995
Jean-Pierre Jeunet,The City of Lost Children,18000000.0,1738611.0,0.0965895,1995
Zhang Yimou,Shanghai Triad,,,,1995
John N. Smith,Dangerous Minds,,180000000.0,,1995
Terry Gilliam,Twelve Monkeys,29500000.0,168840000.0,5.7233898305084745,1995
Jean-Jacques Annaud,Wings of Courage,,,,1996
Chris Noonan,Babe,30000000.0,254134910.0,8.471163666666667,1995
Christopher Hampton,Carrington,,,,1995
Tim Robbins,Dead Man Walking,11000000.0,39363635.0,3.5785122727272727,1995
Stephen Low,Across the Sea of Time,,,,1995
Andy Tennant,It Takes Two,,,,1995
Amy Heckerling,Clueless,12000000.0,,,1995
Darrell James Roodt,"Cry, the Beloved Country",,676525.0,,1995
Richard Loncraine,Richard III,,,,1995
Albert Hughes,Dead Presidents,10000000.0,,,1995
Michael Hoffman,Restoration,19000000.0,,,1995
Paul W.S. Anderson,Mortal Kombat,18000000.0,122195920.0,6.788662222222222,1995
Gus Van Sant,To Die For,20000000.0,21284514.0,1.0642257,1995
Jocelyn Moorhouse,How To Make An American Quilt,10000000.0,23574130.0,2.357413,1995
David Fincher,Se7en,33000000.0,327311859.0,9.918541181818181,1995
Mike Gabriel,Pocahontas,55000000.0,346079773.0,6.292359509090909,1995
Patricia Rozema,When Night Is Falling,,,,1995
Bryan Singer,The Usual Suspects,6000000.0,23341568.0,3.890261333333333,1995
Richard W. Munchkin,Guardian Angel,,,,1994
Woody Allen,Mighty Aphrodite,15000000.0,6700000.0,0.44666666666666666,1995
Gianni Amelio,Lamerica,,,,1994
Holly Goldberg Sloan,The Big Green,,,,1995
Ulu Grosbard,Georgia,,,,1995
Robert Tinnell,Kids of the Round Table,,,,1997
Jodie Foster,Home for the Holidays,,17519169.0,,1995
Michael Radford,The Postman,,,,1994
Robert Lepage,The Confessional,,,,1995
Frank Oz,The Indian in the Cupboard,45000000.0,,,1995
John Schlesinger,Eye for an Eye,20000000.0,,,1996
Stephen Herek,Mr. Holland's Opus,,106269971.0,,1995
Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,,,1996
Bill Bennett,Two If by Sea,,,,1996
Jason Bloom,Bio-Dome,15000000.0,,,1996
Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,,2409225.0,,1996
James Foley,Two Bits,,,,1995
Josiane Balasko,French Twist,,,,1995
F. Gary Gray,Friday,3500000.0,28215918.0,8.061690857142857,1995
Robert Rodriguez,From Dusk Till Dawn,19000000.0,25836616.0,1.3598218947368421,1996
Andrew Sipes,Fair Game,50000000.0,11534477.0,0.23068954,1995
Noah Baumbach,Kicking and Screaming,,718490.0,,1995
Claude Lelouch,Les Miserables,,,,1995
Michael Goldenberg,Bed of Roses,,19030691.0,,1996
Steve Miner,Big Bully,15000000.0,2042530.0,0.13616866666666666,1996
Christian Duguay,Screamers,20000000.0,5781885.0,0.28909425,1995
Susanne Ofteringer,Nico Icon,,,,1995
Sean Penn,The Crossing Guard,,,,1995
Brian Gibson,The Juror,44000000.0,,,1996
Jafar Panahi,The White Balloon,,,,1995
Gary Fleder,Things to Do in Denver When You're Dead,8000000.0,529766.0,0.06622075,1995
Marleen Gorris,Antonia's Line,900000.0,,,1995
Tim Reid,Once Upon a Time... When We Were Colored,,,,1996
Henry Jaglom,Last Summer in the Hamptons,,,,1995
Philip Haas,Angels and Insects,,,,1995
Ridley Scott,White Squall,38000000.0,10300000.0,0.2710526315789474,1996
Ken Kwapis,Dunston Checks In,16000000.0,,,1996
Penelope Spheeris,Black Sheep,,32.0,,1996
John Badham,Nick of Time,8169363.0,8175346.0,1.000732370443081,1995
John Duigan,The Journey of August King,,,,1995
Stephen Frears,Mary Reilly,47000000.0,12379402.0,0.2633915319148936,1996
Wes Craven,Vampire in Brooklyn,14000000.0,19800000.0,1.4142857142857144,1995
Ted Demme,Beautiful Girls,,,,1996
John Woo,Broken Arrow,50000000.0,150270147.0,3.00540294,1996
Kenneth Branagh,A Midwinter's Tale,,,,1995
Mathieu Kassovitz,La Haine,3000000.0,,,1995
Paul W.S. Anderson,Shopping,,,,1994
Nick Broomfield,Heidi Fleiss: Hollywood Madam,,,,1995
Harold Becker,City Hall,,,,1996
Wes Anderson,Bottle Rocket,7000000.0,560069.0,0.08000985714285715,1996
Nick Castle,Mr. Wrong,,,,1996
John Dahl,Unforgettable,18000000.0,,,1996
Dennis Dugan,Happy Gilmore,12000000.0,41205099.0,3.43375825,1996
Clint Eastwood,The Bridges of Madison County,24000000.0,182016617.0,7.584025708333333,1995
Doris Dörrie,Nobody Loves Me,,,,1994
Brian Henson,Muppet Treasure Island,,34327391.0,,1996
Robert Leacock,Catwalk,,,,1995
James Bruce,Headless Body in Topless Bar,,,,1995
Mel Gibson,Braveheart,72000000.0,210000000.0,2.9166666666666665,1995
Martin Scorsese,Taxi Driver,1300000.0,28262574.0,21.74044153846154,1976
Stanley Tong,Rumble in the Bronx,7500000.0,32392047.0,4.3189396,1995
Barbet Schroeder,Before and After,35000000.0,,,1996
Mort Ransen,Margaret's Museum,,,,1995
Étienne Chatiliez,Happiness Is in the Field,13365000.0,,,1995
Jon Blair,Anne Frank Remembered,,1.0,,1995
Benjamin Ross,The Young Poisoner's Handbook,,,,1995
Eric Schaeffer,If Lucy Fell,,,,1996
Andrew Davis,Steal Big Steal Little,25000000.0,6278139.0,0.25112556,1995
Charles T. Kanganis,Race the Sun,,,,1996
John N. Smith,The Boys of St. Vincent,,,,1992
Reginald Hudlin,Boomerang,40000000.0,70100000.0,1.7525,1992
Wong Kar-wai,Chungking Express,,,,1994
Giuseppe Tornatore,The Star Maker,,,,1995
David O. Russell,Flirting with Disaster,7000000.0,14702438.0,2.100348285714286,1996
Peter MacDonald,The Neverending Story III: Escape from Fantasia,17000000.0,,,1994
Moufida Tlatli,The Silences of the Palace,,,,1994
Michel Negroponte,Jupiter's Wife,,,,1995
Bryan Gordon,Pie in the Sky,,,,1996
Rebecca Miller,Angela,,,,1995
Michael Lindsay-Hogg,Frankie Starlight,,,,1995
William Friedkin,Jade,50000000.0,9851610.0,0.1970322,1995
Ángel Muñiz,Nueba Yol,,,,1995
Craig Baldwin,Sonic Outlaws,,,,1995
David S. Ward,Down Periscope,,,,1996
Mark Rappaport,From the Journals of Jean Seberg,,,,1995
Dirk Shafer,Man of the Year,,209935.0,,1995
Terence Davies,The Neon Bible,,,,1995
Sandip Ray,Target,,,,1995
Jon Avnet,Up Close & Personal,60000000.0,,,1996
Mike Nichols,The Birdcage,31000000.0,185260553.0,5.976146870967742,1996
Jakov Sedlar,Virgin Mary,,,,1995
Edward Burns,The Brothers McMullen,,,,1995
Michael Bay,Bad Boys,19000000.0,141407024.0,7.442474947368421,1995
Christopher Cain,The Amazing Panda Adventure,,,,1995
Scott Kalvert,The Basketball Diaries,,,,1995
Mike Newell,An Awfully Big Adventure,4000000.0,851545.0,0.21288625,1995
Hal Hartley,Amateur,,,,1994
Ron Howard,Apollo 13,52000000.0,355237933.0,6.831498711538462,1995
Michael Caton-Jones,Rob Roy,28000000.0,31596911.0,1.1284611071428572,1995
Abel Ferrara,The Addiction,,,,1995
Joel Schumacher,Batman Forever,100000000.0,336529144.0,3.36529144,1995
Luis Buñuel,Belle de Jour,,,,1967
John Boorman,Beyond Rangoon,,,,1995
Paul Auster,Blue in the Face,2000000.0,1275000.0,0.6375,1995
Michael Moore,Canadian Bacon,11000000.0,178104.0,0.016191272727272728,1995
Brad Silberling,Casper,50000000.0,287928194.0,5.75856388,1995
Spike Lee,Clockers,25000000.0,13071518.0,0.52286072,1995
Frank Marshall,Congo,50000000.0,152022101.0,3.04044202,1995
Tony Scott,Crimson Tide,53000000.0,157387195.0,2.969569716981132,1995
Terry Zwigoff,Crumb,,3174695.0,,1994
Robert Rodriguez,Desperado,7000000.0,25405445.0,3.6293492857142855,1995
Carl Franklin,Devil in a Blue Dress,27000000.0,16140822.0,0.5978082222222222,1995
John McTiernan,Die Hard: With a Vengeance,90000000.0,366101666.0,4.067796288888889,1995
Gregg Araki,The Doom Generation,,,,1995
Christopher Menaul,Feast of July,,,,1995
Jerry Zucker,First Knight,55000000.0,127600435.0,2.320007909090909,1995
Dwight H. Little,Free Willy 2 - The Adventure Home,,,,1995
Iain Softley,Hackers,20000000.0,7563728.0,0.3781864,1995
Christopher Ashley,Jeffrey,,,,1995
Robert Longo,Johnny Mnemonic,25000000.0,19075720.0,0.7630288,1995
Danny Cannon,Judge Dredd,90000000.0,113493481.0,1.2610386777777778,1995
John Fortenberry,Jury Duty,,17014653.0,,1995
Larry Clark,Kids,1500000.0,7412216.0,4.941477333333333,1995
Tom DiCillo,Living in Oblivion,500000.0,1148752.0,2.297504,1995
Clive Barker,Lord of Illusions,,,,1995
Denys Arcand,Love & Human Remains,,,,1993
Antonia Bird,Mad Love,,15453274.0,,1995
Kevin Smith,Mallrats,6000000.0,2122561.0,0.35376016666666665,1995
Bryan Spicer,Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,4.4,1995
David Anspaugh,Moonlight and Valentino,,,,1995
Anthony Waller,Mute Witness,2.0,1.0,0.5,1995
Michael Almereyda,Nadja,,,,1994
Irwin Winkler,The Net,22000000.0,110627965.0,5.028543863636363,1995
Chris Columbus,Nine Months,,69660733.0,,1995
Daisy von Scherler Mayer,Party Girl,150000.0,472370.0,3.1491333333333333,1995
Gregory Widen,The Prophecy,8.0,16.0,2.0,1995
Norman René,Reckless,,,,1995
Todd Haynes,Safe,,,,1995
Roland Joffé,The Scarlet Letter,50000000.0,10382407.0,0.20764814,1995
,The Show,,,,1995
Paul Verhoeven,Showgirls,45000000.0,20350754.0,0.4522389777777778,1995
Wayne Wang,Smoke,7000000.0,8349430.0,1.1927757142857143,1995
