title,popularity,year
Minions,547.488298,2015
Wonder Woman,294.337037,2017
Beauty and the Beast,287.253654,2017
Baby Driver,228.032744,2017
Big Hero 6,213.849907,2014
Deadpool,187.860492,2016
Guardians of the Galaxy Vol. 2,185.330992,2017
Avatar,185.070892,2009
John Wick,183.870374,2014
Gone Girl,154.801009,2014
The Hunger Games: Mockingjay - Part 1,147.098006,2014
War for the Planet of the Apes,146.161786,2017
Captain America: Civil War,145.882135,2016
Pulp Fiction,140.950236,1994
Pirates of the Caribbean: Dead Men Tell No Tales,133.82782,2017
The Dark Knight,123.167259,2008
Blade Runner,96.272374,1982
The Avengers,89.887648,2012
Captain Underpants: The First Epic Movie,88.561239,2017
The Circle,88.439243,2017
The Bad Batch,78.8072,2017
The Maze Runner,76.93789,2014
Dawn of the Planet of the Apes,75.385211,2014
Alien: Covenant,72.884078,2017
Ghost in the Shell,68.726676,2017
Boyka: Undisputed IV,67.955052,2016
Whiplash,64.29999,2014
Fight Club,63.869599,1999
What Happened to Monday,60.581223,2017
Wish Upon,59.578823,2017
Thor: Ragnarok,57.283628,2017
Logan,54.581997,2017
Guardians of the Galaxy,53.291601,2014
47 Meters Down,52.854103,2017
The Shawshank Redemption,51.645403,1994
The Last King,50.949523,2016
The Dark Tower,50.903593,2017
John Wick: Chapter 2,49.247505,2017
The Fate of the Furious,48.573287,2017
Forrest Gump,48.307194,1994
Pirates of the Caribbean: The Curse of the Black Pearl,47.326665,2003
Security,47.114366,2017
The Legend of Tarzan,45.38298,2016
King Arthur: Legend of the Sword,44.251369,2017
Doctor Strange,43.847654,2016
Suicide Squad,42.965027,2016
Star Wars,42.149697,1977
Ted 2,42.061481,2015
Schindler's List,41.725123,1993
Rise of the Planet of the Apes,41.613762,2011
Maze Runner: The Scorch Trials,41.225769,2015
The Godfather,41.109264,1972
Fantastic Beasts and Where to Find Them,41.051421,2016
Spirited Away,41.048867,2001
Wind River,40.796775,2017
Now You See Me 2,39.540653,2016
Life Is Beautiful,39.39497,1997
Transformers: The Last Knight,39.186819,2017
Before I Fall,38.995136,2017
Harry Potter and the Philosopher's Stone,38.187238,2001
Girls Trip,37.964872,2017
2:22,37.484577,2017
Avengers: Age of Ultron,37.37942,2015
Get Out,36.894806,2017
Psycho,36.826309,1960
Fury,36.713807,2014
Despicable Me 3,36.631519,2017
The Godfather: Part II,36.629307,1974
Rogue One: A Star Wars Story,36.567575,2016
Lucy,36.447603,2014
Life,36.263803,2017
Miss Peregrine's Home for Peculiar Children,36.262655,2016
The Beguiled,36.26051,2017
Operation Mekong,35.972581,2016
Baywatch,35.637691,2017
One Flew Over the Cuckoo's Nest,35.529554,1975
Thor: The Dark World,34.905447,2013
A Silent Voice,34.852055,2016
Your Name.,34.461252,2016
Dilwale Dulhania Le Jayenge,34.457024,1995
Me Before You,34.34759,2016
The Mother of Tears,34.145916,2007
The Twilight Saga: Eclipse,34.047399,2010
Pacific Rim,33.949359,2013
The Mummy,33.704935,2017
The Emoji Movie,33.694599,2017
Rescue Under Fire,33.536359,2017
Creed,33.449723,2015
The Matrix,33.366332,1999
Fifty Shades of Grey,33.068431,2015
Jurassic World,32.790475,2015
Interstellar,32.213481,2014
Once Upon a Time in America,32.182851,1984
The Lord of the Rings: The Fellowship of the Ring,32.070725,2001
Edge of Tomorrow,31.982986,2014
The Autopsy of Jane Doe,31.772396,2016
The Hobbit: The Battle of the Five Armies,31.718977,2014
Star Wars: The Force Awakens,31.626013,2015
The Imitation Game,31.59594,2014
Batman v Superman: Dawn of Justice,31.435879,2016
Pirates of the Caribbean: At World's End,31.363664,2007
Collide,31.314013,2016
Twilight,31.282029,2008
The Amazing Spider-Man,31.102267,2012
Dunkirk,30.938854,2017
Arrival,30.83786,2016
12 Years a Slave,30.316249,2013
Chappie,30.206365,2015
Terminator Genisys,30.188198,2015
The House,30.146847,2017
The Twilight Saga: New Moon,30.121292,2009
Harry Potter and the Chamber of Secrets,29.741452,2002
Pirates of the Caribbean: Dead Man's Chest,29.455314,2006
Kong: Skull Island,29.429112,2017
The Lord of the Rings: The Two Towers,29.423537,2002
Spider-Man,29.413341,2002
Mad Max: Fury Road,29.36178,2015
The Lord of the Rings: The Return of the King,29.324358,2003
Thor,29.158489,2011
Fifty Shades Darker,29.130443,2017
Inception,29.108149,2010
Split,28.920839,2016
X-Men: Apocalypse,28.712522,2016
Batman Begins,28.505341,2005
Harry Potter and the Prisoner of Azkaban,28.460276,2004
The Saint,28.23593,2017
Kingsman: The Secret Service,28.224212,2015
Diary of a Wimpy Kid: The Long Haul,28.176992,2017
Pirates of the Caribbean: On Stranger Tides,27.88772,2011
Insurgent,27.887186,2015
The Purge: Anarchy,27.756026,2014
Spider-Man 3,27.614265,2007
Assassin's Creed,27.54107,2016
Sex Tape,27.470696,2014
Furious 7,27.275687,2015
Dark Skies,26.972326,2013
Titanic,26.88907,1997
Ant-Man,26.882388,2015
Pan's Labyrinth,26.817754,2006
The Hunger Games: Mockingjay - Part 2,26.628178,2015
"Monsters, Inc.",26.419962,2001
The Amazing Spider-Man 2,26.23687,2014
World War Z,26.114917,2013
The Twilight Saga: Breaking Dawn - Part 2,26.080995,2012
X-Men: Days of Future Past,26.058586,2014
Zootopia,26.024868,2016
The Twilight Saga: Breaking Dawn - Part 1,25.9725,2011
Justice League,25.944629,2017
Don't Breathe,25.869883,2016
Back to the Future,25.778509,1985
The Martian,25.62993,2015
Finding Nemo,25.497794,2003
Colossal,25.373662,2017
The Hunger Games: Catching Fire,25.309139,2013
Self/less,25.301568,2015
Kill Bill: Vol. 1,25.261865,2003
The Hangover Part III,25.085639,2013
Harry Potter and the Deathly Hallows: Part 2,24.990737,2011
Spectre,24.926577,2015
Sleight,24.91169,2017
Black Mirror: White Christmas,24.910782,2014
Harry Potter and the Goblet of Fire,24.903058,2005
Despicable Me 2,24.82355,2013
No Good Deed,24.644321,2014
