title,vote_average,vote_count,year
The Shawshank Redemption,8.5,8358.0,1994
The Godfather,8.5,6024.0,1972
Life Is Beautiful,8.3,3643.0,1997
Spirited Away,8.3,3968.0,2001
One Flew Over the Cuckoo's Nest,8.3,3001.0,1975
Psycho,8.3,2405.0,1960
Fight Club,8.3,9678.0,1999
The Godfather: Part II,8.3,3418.0,1974
The Dark Knight,8.3,12269.0,2008
Pulp Fiction,8.3,8670.0,1994
Whiplash,8.3,4376.0,2014
Schindler's List,8.3,4436.0,1993
The Empire Strikes Back,8.2,5998.0,1980
12 Angry Men,8.2,2130.0,1957
GoodFellas,8.2,3211.0,1990
American History X,8.2,3120.0,1998
Forrest Gump,8.2,8147.0,1994
Leon: The Professional,8.2,4293.0,1994
Princess Mononoke,8.2,2041.0,1997
The Intouchables,8.2,5410.0,2011
The Green Mile,8.2,4166.0,1999
Howl's Moving Castle,8.2,2049.0,2004
Inception,8.1,14075.0,2010
The Shining,8.1,3890.0,1980
Interstellar,8.1,11187.0,2014
"The Good, the Bad and the Ugly",8.1,2371.0,1966
Memento,8.1,4168.0,2000
The Lord of the Rings: The Return of the King,8.1,8226.0,2003
Reservoir Dogs,8.1,3821.0,1992
Dead Poets Society,8.1,2786.0,1989
The Silence of the Lambs,8.1,4549.0,1991
Room,8.1,2838.0,2015
Se7en,8.1,5915.0,1995
Star Wars,8.1,6778.0,1977
The Usual Suspects,8.1,3334.0,1995
Taxi Driver,8.1,2632.0,1976
The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0,2001
Back to the Future,8.0,6239.0,1985
Scarface,8.0,3017.0,1983
A Clockwork Orange,8.0,3432.0,1971
Apocalypse Now,8.0,2112.0,1979
The Lion King,8.0,5520.0,1994
The Imitation Game,8.0,5895.0,2014
The Grand Budapest Hotel,8.0,4644.0,2014
The Prestige,8.0,4510.0,2006
The Lord of the Rings: The Two Towers,8.0,7641.0,2002
Good Will Hunting,7.9,2880.0,1997
2001: A Space Odyssey,7.9,3075.0,1968
Gone Girl,7.9,6023.0,2014
American Beauty,7.9,3438.0,1999
Guardians of the Galaxy,7.9,10014.0,2014
Blade Runner,7.9,3833.0,1982
Saving Private Ryan,7.9,5148.0,1998
Harry Potter and the Deathly Hallows: Part 2,7.9,6141.0,2011
La La Land,7.9,4745.0,2016
Inglourious Basterds,7.9,6598.0,2009
Her,7.9,4215.0,2013
The Wolf of Wall Street,7.9,6768.0,2013
Prisoners,7.9,3183.0,2013
Gladiator,7.9,5566.0,2000
Full Metal Jacket,7.9,2595.0,1987
Requiem for a Dream,7.9,2525.0,2000
Dallas Buyers Club,7.9,2973.0,2013
Alien,7.9,4564.0,1979
The Departed,7.9,4455.0,2006
Return of the Jedi,7.9,4763.0,1983
12 Years a Slave,7.9,3787.0,2013
Eternal Sunshine of the Spotless Mind,7.9,3758.0,2004
Inside Out,7.9,6737.0,2015
The Matrix,7.9,9079.0,1999
Hidden Figures,7.8,2178.0,2016
Amélie,7.8,3403.0,2001
Django Unchained,7.8,10297.0,2012
The Breakfast Club,7.8,2189.0,1985
Shutter Island,7.8,6559.0,2010
The Theory of Everything,7.8,3403.0,2014
Trainspotting,7.8,2737.0,1996
Into the Wild,7.8,3139.0,2007
Spotlight,7.8,2751.0,2015
Hacksaw Ridge,7.8,3294.0,2016
WALL·E,7.8,6439.0,2008
Gran Torino,7.8,3181.0,2008
About Time,7.8,2140.0,2013
The Truman Show,7.8,4702.0,1998
Big Hero 6,7.8,6289.0,2014
The Big Lebowski,7.8,3001.0,1998
Up,7.8,7048.0,2009
The Notebook,7.7,3163.0,2004
Harry Potter and the Prisoner of Azkaban,7.7,6037.0,2004
No Country for Old Men,7.7,3083.0,2007
The Perks of Being a Wallflower,7.7,3056.0,2012
The Pursuit of Happyness,7.7,2607.0,2006
Donnie Darko,7.7,3574.0,2001
Kill Bill: Vol. 2,7.7,4061.0,2004
Catch Me If You Can,7.7,3917.0,2002
Kill Bill: Vol. 1,7.7,5091.0,2003
A Beautiful Mind,7.7,3087.0,2001
V for Vendetta,7.7,4562.0,2006
Toy Story,7.7,5415.0,1995
Rush,7.7,2310.0,2013
Aliens,7.7,3282.0,1986
Braveheart,7.7,3404.0,1995
Zootopia,7.7,4961.0,2016
Terminator 2: Judgment Day,7.7,4274.0,1991
Fargo,7.7,2080.0,1996
Raiders of the Lost Ark,7.7,3949.0,1981
Million Dollar Baby,7.7,2519.0,2004
Snatch,7.7,2953.0,2000
The Sixth Sense,7.7,3223.0,1999
Guardians of the Galaxy Vol. 2,7.6,4858.0,2017
Indiana Jones and the Last Crusade,7.6,3221.0,1989
Logan,7.6,6310.0,2017
Jurassic Park,7.6,4956.0,1993
The Nightmare Before Christmas,7.6,2135.0,1993
The Hobbit: The Desolation of Smaug,7.6,4633.0,2013
Pan's Labyrinth,7.6,3122.0,2006
Me Before You,7.6,2674.0,2016
The Dark Knight Rises,7.6,9263.0,2012
The Martian,7.6,7442.0,2015
The Hateful Eight,7.6,4405.0,2015
Big Fish,7.6,2064.0,2003
Captain America: The Winter Soldier,7.6,5881.0,2014
Edge of Tomorrow,7.6,4979.0,2014
Finding Nemo,7.6,6292.0,2003
Slumdog Millionaire,7.6,2918.0,2008
Mulan,7.6,2089.0,1998
The King's Speech,7.6,2817.0,2010
The Fault in Our Stars,7.6,3868.0,2014
Toy Story 3,7.6,4710.0,2010
Nightcrawler,7.6,3475.0,2014
How to Train Your Dragon 2,7.6,3163.0,2014
Ex Machina,7.6,4862.0,2015
Kingsman: The Secret Service,7.6,6069.0,2015
Captain Phillips,7.6,2495.0,2013
Ratatouille,7.5,4510.0,2007
Boyhood,7.5,2008.0,2014
Star Wars: The Force Awakens,7.5,7993.0,2015
The Lego Movie,7.5,3127.0,2014
Shaun of the Dead,7.5,2479.0,2004
How to Train Your Dragon,7.5,4319.0,2010
Seven Pounds,7.5,2092.0,2008
Harry Potter and the Goblet of Fire,7.5,5758.0,2005
